# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 1693 3 5 2081 13515729 3 ./232/disk/WIN2000/ULTRA.CAT
DUPTYPE_WITHIN_SAME_TREE -1693 3 5 2081 13515736 3 ./232/disk/Win9x-Me/ULTRA.CAT
DUPTYPE_WITHIN_SAME_TREE -1693 3 5 2081 13515740 3 ./232/disk/WinXP/ULTRA.CAT
DUPTYPE_FIRST_OCCURRENCE 365 2 6 2081 13513052 3 ./16/disk/MSDOS.SYS
DUPTYPE_WITHIN_SAME_TREE -365 2 6 2081 13513206 3 ./20/disk/MSDOS.SYS
DUPTYPE_FIRST_OCCURRENCE 874 2 7 2081 13515745 3 ./232/disk/ULTRA
DUPTYPE_WITHIN_SAME_TREE -874 3 7 2081 13515725 3 ./232/disk/NT4/ULTRA.CAT
DUPTYPE_FIRST_OCCURRENCE 721 2 9 2081 13514813 3 ./201/disk/MSDOS.SYS
DUPTYPE_WITHIN_SAME_TREE -721 2 9 2081 13514102 3 ./94/disk/MSDOS.SYS
DUPTYPE_FIRST_OCCURRENCE 951 2 9 2081 13512714 3 ./3/disk/MSDOS.SYS
DUPTYPE_WITHIN_SAME_TREE -951 5 9 2081 13513236 3 ./21/disk/Norton Ghost 6.0/template/common/msdos.sys
DUPTYPE_FIRST_OCCURRENCE 569 2 43 2081 13515027 3 ./182/disk/FILE_ID.DIZ
DUPTYPE_WITHIN_SAME_TREE -569 2 43 2081 13515032 3 ./183/disk/FILE_ID.DIZ
DUPTYPE_FIRST_OCCURRENCE 1805 3 54 2081 13513403 3 ./34/disk/MAC/CHKLIST.MS
DUPTYPE_WITHIN_SAME_TREE -1805 3 54 2081 13513929 3 ./86/disk/MAC/CHKLIST.MS
DUPTYPE_FIRST_OCCURRENCE 1274 3 89 2081 13514420 3 ./113/disk/INI1/FIREWORK.INI
DUPTYPE_WITHIN_SAME_TREE -1274 3 89 2081 13514430 3 ./113/disk/INI2/FIREWORK.INI
DUPTYPE_FIRST_OCCURRENCE 748 2 90 2081 13515539 3 ./214/disk/RAVEME!!.NOW
DUPTYPE_WITHIN_SAME_TREE -748 2 90 2081 13515589 3 ./215/disk/RAVEME!!.NOW
DUPTYPE_FIRST_OCCURRENCE 86 2 109 2081 13514328 3 ./107/disk/SCAN.DAT
DUPTYPE_WITHIN_SAME_TREE -86 2 109 2081 13515348 3 ./206/disk/SCAN.DAT
DUPTYPE_FIRST_OCCURRENCE 1611 3 116 2081 13515497 3 ./214/disk/ROBORUN/BONUSRND.DOC
